Audio_Song,Lyric_Song,Quadrant,Artist,Title,Genres
A085-69,L135-69,Q3,The Cranberries,Dying in the Sun,"Alternative/Indie Rock,Pop/Rock,Celtic Rock,Contemporary Pop/Rock,Alternative Pop/Rock,Adult Alternative Pop/Rock"
A088-136,L138-136,Q4,Diana Krall,Fly Me to the Moon,"Traditional Pop,Standards,Vocal,Vocal Jazz,Jazz"
A090-94,L140-94,Q2,2Pac,Fuck the World,Rap
A092-96,L142-96,Q1,The Beach Boys,"Fun, Fun, Fun","Rock & Roll,Contemporary Pop/Rock,Pop/Rock"
A094-110,L144-110,Q1,Chic,Good Times,"Pop/Rock,Dance-Pop,Funk,R&B,Club/Dance,Disco"
A096-68,L146-68,Q3,Evanescence,Hello,Pop/Rock
A097-152,L147-152,Q3,Michael Bublï¿½,Home,"Traditional Pop,Adult Contemporary,Pop/Rock,Vocal Pop,Vocal"
A101-111,L151-111,Q1,Donna Summer,I Feel Love,"Club/Dance,Disco,R&B"
A102-114,L152-114,Q1,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),"Dance-Pop,Adult Contemporary,Urban,R&B,Pop/Rock"
A103-99,L153-99,Q2,Lisa Marie Presley,Idiot,"Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
A105-117,L155-117,Q1,Prince,Kiss,"Electronic,R&B"
A106-100,L156-100,Q3,Rockwell,Knife,"Contemporary R&B,R&B"
A107-115,L157-115,Q1,David Bowie,Let's Dance,"Pop/Rock,Album Rock,Blue-Eyed Soul,Soul,R&B,Punk/New Wave,New Wave,Contemporary Pop/Rock"
A114-120,L004-120,Q1,Luther Vandross,Never Too Much,"R&B,Quiet Storm,Urban"
A115-84,L005-84,Q1,Frank Sinatra,"Theme From New York, New York","Show Tunes,Stage & Screen,Cast Recordings,Traditional Pop,Vocal,Vocal Pop"
A117-76,L007-76,Q3,Sinï¿½ad O'Connor,Nothing Compares 2 U,"Contemporary Pop/Rock,Adult Contemporary,Adult Alternative Pop/Rock,Pop/Rock,Alternative/Indie Rock"
A120-168,L010-168,Q4,Enya,Paint the Sky With Stars,"International,New Age,Pop/Rock"
A126-77,L016-77,Q3,SinÃ©ad OâConnor,Sacrifice,
A127-133,L017-133,Q2,Vio-Lence,Serial Killer,"Heavy Metal,Hard Rock,Pop/Rock"
A128-109,L018-109,Q1,Beyoncï¿½,Single Ladies (Put a Ring On It),"Pop,Contemporary R&B,R&B"
A130-162,L020-162,Q3,Red House Painters,Song for a Blue Guitar,"Alternative/Indie Rock,Sadcore,Dream Pop,Alternative Pop/Rock,Pop/Rock"
A134-142,L024-142,Q4,Norah Jones,Sunrise,"Alternative/Indie Rock,Pop/Rock,Adult Alternative Pop/Rock"
A143-72,L033-72,Q3,Sarah McLachlan,Angel,"Alternative/Indie Rock,Pop/Rock,Adult Alternative Pop/Rock"
A145-134,L035-134,Q4,Norah Jones,Those Sweet Words,"Contemporary Jazz,Vocal Jazz,Jazz"
A146-118,L036-118,Q1,The Beatles,Twist and Shout,"Contemporary Pop/Rock,Rock & Roll,Merseybeat,Early Pop/Rock,British Invasion,Pop/Rock"
A148-102,L038-102,Q1,Billy Joel,Uptown Girl,Pop/Rock
A151-172,L041-172,Q2,Black Sabbath,War Pigs,"Hard Rock,Heavy Metal,Album Rock,British Metal,Pop/Rock"
A152-108,L042-108,Q1,Queen,We Are the Champions,"Album Rock,Pop/Rock"
A157-71,L047-71,Q3,The Beatles,Yesterday,"Singer/Songwriter,Psychedelic/Garage,Folk-Rock,British Invasion,Contemporary Pop/Rock,Early Pop/Rock,Pop/Rock"
A160-149,L050-149,Q1,Barry White,"You're the First, the Last, My Everything",R&B
A167,L167,Q1,Sam Cooke,Twistin' The Night Away,"Uptown Soul,Pop-Soul,R&B,Soul"
A168,L168,Q4,Enigma,The Voice of Enigma,"Electronic,Ethnic Fusion,Club/Dance,New Age"
A170,L170,Q3,Silverchair,Suicidal Dream,
A171,L171,Q3,A Great Big World,Say Something,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter"
A172,L172,Q2,Nickelback,Rockstar,"Post-Grunge,Alternative Metal,Pop/Rock,Heavy Metal"
A174,L174,Q2,Eminem,Renegade,Rap
A176,L176,Q2,System of a Down,Prison Song,"Heavy Metal,Alternative Metal,Pop/Rock"
A178,L178,Q4,Cat Stevens,Peace Train,"Singer/Songwriter,Soft Rock,Album Rock,Contemporary Pop/Rock,Pop/Rock"
A182,L182,Q2,Eminem,Lose Yourself,"Hardcore Rap,Rap"
A183,L183,Q2,Rage Against the Machine,Killing in the Name,"Rap-Metal,Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Pop/Rock"
A187,L187,Q1,Sister Sledge,He's the Greatest Dancer,"Disco,R&B"
A188,L188,Q3,Billie Holiday,"Gloomy Sunday, 1941",
A191,L191,Q3,Demi Lovato,For the Love of a Daughter,"Dance-Pop,Teen Pop,Pop/Rock"
A195,L195,Q3,Bruno Mars,Dancing with another man,"Pop,Pop/Rock"
A196,L196,Q1,Martha & the Vandellas,Dancing in the Street,"Pop/Rock,Girl Groups,Motown,Soul,R&B,Pop-Soul"
MT0000008995,MT0000008995,Q3,Billie Holiday,You're Too Lovely to Last,"Blues,Jazz,Vocal"
MT0000026571,MT0000026571,Q4,Perry Como,Till the End of Time,Vocal
MT0000027422,MT0000027422,Q3,Genesis,Uncertain Weather,Pop/Rock
MT0000031210,MT0000031210,Q3,Billie Holiday,Without Your Love,"Blues,Jazz,Vocal"
MT0000038502,MT0000038502,Q2,The End,Fetesque,Pop/Rock
MT0000040773,MT0000040773,Q1,The Andrews Sisters,Beer Barrel Polka,"Easy Listening,Vocal"
MT0000043184,MT0000043184,Q3,Dolly Parton,God Won't Get You,Country
MT0000044741,MT0000044741,Q3,Little Walter,Last Night,Blues
MT0000045345,MT0000045345,Q1,Ashanti,I Love You,R&B
MT0000048600,MT0000048600,Q4,Elvis Presley,"Green, Green Grass of Home",
MT0000059269,MT0000059269,Q3,Gene Autry,Mexicali Rose,Country
MT0000066236,MT0000066236,Q2,Void,My Rules,Pop/Rock
MT0000066421,MT0000066421,Q4,Freddy Fender,Talk to Me,"Country,Latin,Pop/Rock"
MT0000080053,MT0000080053,Q1,Patsy Cline,Honky Tonk Merry-Go Round,Country
MT0000082188,MT0000082188,Q3,Elvis Costello,Ive Been Wrong Before,Pop/Rock
MT0000089410,MT0000089410,Q4,Marvin Gaye,The Shadow of Your Smile,"Easy Listening,Jazz,Pop/Rock"
MT0000091401,MT0000091401,Q1,Carl Perkins,Pink Pedal Pushers,"Pop/Rock,Rock & Roll,Instrumental Rock"
MT0000091781,MT0000091781,Q3,Marianne Faithfull,Love in the Afternoon,"Classical,Pop/Rock"
MT0000092637,MT0000092637,Q3,Ella Fitzgerald,Cryin' Mood,Jazz
MT0000093583,MT0000093583,Q1,Ashanti,Come 2 Me,"Electronic,R&B"
MT0000095414,MT0000095414,Q3,Nelly Furtado,Onde Estas,Pop/Rock
MT0000097948,MT0000097948,Q4,Nat King Cole,"Baby, Baby All the Time","Jazz,Vocal"
MT0000103049,MT0000103049,Q4,Patsy Cline,Just a Closer Walk With Thee,"Country,Religious"
MT0000103874,MT0000103874,Q1,The Oak Ridge Boys,Love Song,"Country-Pop,Country"
MT0000105492,MT0000105492,Q1,Whitney Houston,Oh Yes,"Electronic,Pop/Rock,R&B"
MT0000117176,MT0000117176,Q4,Duke Ellington,Stardust,"Jazz,Vocal"
MT0000119701,MT0000119701,Q4,Bing Crosby,Too Marvelous for Words,"Jazz,Vocal"
MT0000119987,MT0000119987,Q1,Fergie,Glamorous,"R&B,Rap"
MT0000124779,MT0000124779,Q3,PJ Harvey,This Mess We're In,Pop/Rock
MT0000128573,MT0000128573,Q1,Bing Crosby,Here Comes Santa Claus,"Holiday,Stage & Screen"
MT0000133200,MT0000133200,Q2,Deftones,Rats!Rats!Rats!,Pop/Rock
MT0000135916,MT0000135916,Q4,Bing Crosby,Silver Bells,"Holiday,Vocal"
MT0000144160,MT0000144160,Q4,The Bellamy Brothers,It's So Close to Christmas (And I'm So Far from Home),"Country,Holiday,Pop/Rock"
MT0000145509,MT0000145509,Q2,Ozzy Osbourne,Running Out of Time,Pop/Rock
MT0000146284,MT0000146284,Q4,Willie Nelson,Willingly,Country
MT0000146966,MT0000146966,Q1,The Black Crowes,Shake Your Moneymaker,"Country,Pop/Rock"
MT0000147182,MT0000147182,Q4,Steely Dan,Pearl of the Quarter,Pop/Rock
MT0000151451,MT0000151451,Q4,The Pogues,Love You 'Till the End,"International,Pop/Rock"
MT0000151529,MT0000151529,Q3,Merle Haggard,Pancho and Lefty,Country
MT0000162219,MT0000162219,Q3,George Jones,Where Grass Won't Grow,Country
MT0000164441,MT0000164441,Q4,The Stanley Brothers,Angel Band,Country
MT0000169836,MT0000169836,Q2,Master P,Return of da Don,Rap
MT0000171421,MT0000171421,Q3,Bryan Ferry,This Love,
MT0000171852,MT0000171852,Q3,Rosemary Clooney,You'll Never Know,"Jazz,Vocal"
MT0000174580,MT0000174580,Q1,Toni Braxton,I Belong to You,"Electronic,Pop/Rock,R&B"
MT0000175597,MT0000175597,Q3,Leonard Cohen,Joan of Arc,"Folk,Pop/Rock,Singer/Songwriter"
MT0000177878,MT0000177878,Q4,Ella Fitzgerald,It Had to Be You,"Jazz,Vocal"
MT0000185453,MT0000185453,Q3,Ella Fitzgerald,Once I Loved,Jazz
MT0000185601,MT0000185601,Q1,OutKast,Hey Ya!,"Contemporary R&B,R&B,Rap,Alternative Rap"
MT0000192913,MT0000192913,Q3,Eminem,If I Had,Rap
MT0000192982,MT0000192982,Q3,Johnny Cash,Long Black Veil,"Rock & Roll,Rockabilly,Pop/Rock"
MT0000195705,MT0000195705,Q4,Jim Nabors,A Time for Us,"Pop/Rock,Vocal"
MT0000197431,MT0000197431,Q1,Connie Francis,Plenty Good Lovin',Pop/Rock
MT0000202045,MT0000202045,Q4,Bob Marley & the Wailers,Exodus,Reggae
MT0000214287,MT0000214287,Q3,Merle Haggard,High on a Hilltop,Country
MT0000216849,MT0000216849,Q2,Rebel Meets Rebel,Get Outta My Life,"Country,Pop/Rock"
MT0000218346,MT0000218346,Q4,Steven Curtis Chapman,Moment Made for Worshipping,"New Age,Pop/Rock,Religious"
MT0000225806,MT0000225806,Q1,Elvis Presley,I Need Your Love Tonight,Pop/Rock
MT0000231784,MT0000231784,Q2,D12,Words Are Weapons,Rap
MT0000245808,MT0000245808,Q1,Ray Charles,"What'd I Say, Pt. 1","Blues,Jazz,R&B"
MT0000252574,MT0000252574,Q1,Rod Stewart,What Am I Gonna Do (I'm So in Love With You),Pop/Rock
MT0000255724,MT0000255724,Q3,Danny Elfman,Signal Fire,"Pop/Rock,Stage & Screen"
MT0000258223,MT0000258223,Q4,Elvis Presley,Take My Hand Precious Lord,Religious
MT0000258646,MT0000258646,Q2,A.C.,I Sold Your Dog to a Chinese Restaurant,Pop/Rock
MT0000265621,MT0000265621,Q4,Air,Universal Traveller,"Electronic,Pop/Rock"
MT0000268576,MT0000268576,Q3,Eric Clapton,River of Tears,Pop/Rock
MT0000270200,MT0000270200,Q2,Corey Hart,Sunglasses at Night 2003,"Electronic,Pop/Rock"
MT0000271454,MT0000271454,Q1,Ray Charles,"What'd I Say, Pts. 1 & 2","Jazz,Pop/Rock,R&B"
MT0000273374,MT0000273374,Q4,Michael Rother,Happy-End,Electronic
MT0000277032,MT0000277032,Q4,Harry Belafonte,Day-O (Banana Boat Song),International
MT0000277633,MT0000277633,Q3,Bruce Springsteen,The Promise,Pop/Rock
MT0000287606,MT0000287606,Q4,Rev. Gary Davis,I Am the True Vine,Blues
MT0000289116,MT0000289116,Q3,Hank Williams,I Can't Help It (If I'm Still in Love with You),Country
MT0000292000,MT0000292000,Q4,112,Love Me,R&B
MT0000293345,MT0000293345,Q3,Queensrï¿½che,I Will Remember,Pop/Rock
MT0000299291,MT0000299291,Q3,Client,Heartland,"Electronic,Pop/Rock"
MT0000310204,MT0000310204,Q1,Marvin Gaye,Joy,R&B
MT0000312152,MT0000312152,Q3,Johnny Cash,Guess Things Happen That Way,"Country,Pop/Rock"
MT0000315363,MT0000315363,Q1,Chuck Berry,Nadine,Pop/Rock
MT0000315392,MT0000315392,Q3,Michael Franks,When You Smiled At Me,"Jazz,Vocal"
MT0000316110,MT0000316110,Q2,KMFDM,Don't Blow Your Top,"Electronic,Pop/Rock"
MT0000318206,MT0000318206,Q2,Killswitch Engage,Unbroken,Pop/Rock
MT0000318279,MT0000318279,Q4,Tony Bennett,Stella by Starlight,"Jazz,Vocal"
MT0000320757,MT0000320757,Q3,The Everly Brothers,So Lonely,"Country,Pop/Rock"
MT0000321394,MT0000321394,Q2,Discharge,Does This System Work,Pop/Rock
MT0000321824,MT0000321824,Q4,Jackie Wilson,Each Time (I Love You More),"Electronic,Pop/Rock"
MT0000325093,MT0000325093,Q1,Jennifer Lopez,Waiting for Tonight,"Electronic,Latin,Pop/Rock,R&B"
MT0000335310,MT0000335310,Q4,Burl Ives,A Holly Jolly Christmas,"Folk,Holiday"
MT0000348553,MT0000348553,Q4,The Kingston Trio,Scotch & Soda,Folk
MT0000353361,MT0000353361,Q3,George Jones,Southern California,Country
MT0000369188,MT0000369188,Q1,The Easybeats,Land of Make Believe,Pop/Rock
MT0000370694,MT0000370694,Q4,Mississippi John Hurt,Shortnin' Bread,Blues
MT0000380307,MT0000380307,Q4,Dean Martin,Canadian Sunset,Vocal
MT0000380971,MT0000380971,Q3,Tom Waits,When You Ain't Got Nobody,Pop/Rock
MT0000391566,MT0000391566,Q4,Brian Eno,Empty Landscape,Electronic
MT0000398595,MT0000398595,Q4,Sam Cooke,Touch the Hem of His Garment,R&B
MT0000408441,MT0000408441,Q3,Lightnin' Hopkins,Give Me Back That Wig (Wig Wearing Woman),Blues
MT0000409922,MT0000409922,Q4,The Smashing Pumpkins,Crush,Pop/Rock
MT0000419956,MT0000419956,Q2,The Oppressed,Victims,Pop/Rock
MT0000421504,MT0000421504,Q4,Jim Nabors,More,"Pop/Rock,Vocal"
MT0000425270,MT0000425270,Q2,Ice Cube,How to Survive in South Central,Rap
MT0000426880,MT0000426880,Q1,t.A.T.u.,Not Gonna Get Us,Electronic
MT0000436815,MT0000436815,Q4,Jars of Clay,Love Song for a Savior,Religious
MT0000441552,MT0000441552,Q2,Gatsbys American Dream,Station 5: The Pearl,Pop/Rock
MT0000446304,MT0000446304,Q3,Michael Franks,Why Spring Ain't Here,"Jazz,Vocal"
MT0000447539,MT0000447539,Q4,Elvis Presley,O Come All Ye Faithful,
MT0000456939,MT0000456939,Q2,Blindside,Come to Rest,"Electronic,International,Pop/Rock,Religious"
MT0000460480,MT0000460480,Q4,Frank Sinatra,Isle of Capri,"Jazz,Vocal"
MT0000463371,MT0000463371,Q2,Slayer,Necrophiliac,Pop/Rock
MT0000475876,MT0000475876,Q1,Jennifer Lopez,Get Right,"Electronic,Latin,Pop/Rock,R&B"
MT0000481304,MT0000481304,Q4,Ziggy Marley,Jah Will Be Done,Reggae
MT0000487439,MT0000487439,Q3,"Robert Lockwood, Jr.",Black Spider Blues,Blues
MT0000497520,MT0000497520,Q1,The Beach Boys,Long Tall Texan,Pop/Rock
MT0000515256,MT0000515256,Q3,Ella Fitzgerald,I'm Making Believe,Vocal
MT0000518591,MT0000518591,Q1,Donna Summer,This Time I Know It's for Real,"Electronic,R&B"
MT0000523576,MT0000523576,Q4,Bing Crosby,It's Beginning to Look a Lot Like Christmas,"Holiday,Vocal"
MT0000526302,MT0000526302,Q4,Bob Marley,Redemption Song,Reggae
MT0000526867,MT0000526867,Q3,The Cure,The Big Hand,Pop/Rock
MT0000534539,MT0000534539,Q3,Anthony Newley,Who Can I Turn To (When Nobody Needs Me),"Pop/Rock,Stage & Screen,Vocal"
MT0000540286,MT0000540286,Q1,Louis Armstrong,Put 'Em Down Blues,Jazz
MT0000546446,MT0000546446,Q1,Michael Jackson,Just Good Friends,"Electronic,Pop/Rock"
MT0000547065,MT0000547065,Q3,East River Pipe,"Hey, Where's Your Girl?",Pop/Rock
MT0000549945,MT0000549945,Q4,Ken Lane Singers,Silent Night,"Holiday,Vocal"
MT0000550961,MT0000550961,Q4,John Denver,Four Strong Winds,"Country,Easy Listening,Folk,International,Pop/Rock"
MT0000553622,MT0000553622,Q3,k.d. lang,Flame of the Uninspired,"Country,Pop/Rock"
MT0000556349,MT0000556349,Q1,Louis Armstrong,My Sweet Hunk O' Trash,Jazz
MT0000567692,MT0000567692,Q3,Marianne Faithfull,Sad Lisa,Pop/Rock
MT0000570966,MT0000570966,Q3,Lou Reed,Baby Face,Pop/Rock
MT0000599398,MT0000599398,Q4,Pink Floyd,Chapter 24,"Pop/Rock,Prog-Rock,Psychedelic/Garage,Art Rock,British Psychedelia"
MT0000603187,MT0000603187,Q3,Peter Gabriel,I Grieve,"Contemporary Pop/Rock,Pop/Rock"
MT0000603561,MT0000603561,Q3,Billie Holiday,The Moon Looks Down and Laughs,"Blues,Jazz,Vocal"
MT0000604234,MT0000604234,Q2,Manic Street Preachers,Of Walking Abortion,Pop/Rock
MT0000615489,MT0000615489,Q1,Richard X,Freak Like Me,"Electronic,International"
MT0000619767,MT0000619767,Q3,Garbage,It's All Over But the Crying,Pop/Rock
MT0000621840,MT0000621840,Q1,Elvis Presley,Party,Pop/Rock
MT0000630628,MT0000630628,Q4,Neil Young,Flags of Freedom,"Folk,Pop/Rock"
MT0000633351,MT0000633351,Q4,Frank Sinatra,Not as a Stranger,Vocal
MT0000638634,MT0000638634,Q4,Lenny Kravitz,Heaven Help,Pop/Rock
MT0000643201,MT0000643201,Q3,The Cure,More Than This,Pop/Rock
MT0000647818,MT0000647818,Q4,Kenny Chesney,Pretty Paper,"Country,Holiday"
MT0000652082,MT0000652082,Q4,Burt Bacharach,What the World Needs Now is Love,"Brill Building Pop,Pop/Rock,Easy Listening,Waltz,Early Pop/Rock"
MT0000661250,MT0000661250,Q3,Alexis Korner,The Love You Save,"Blues,Pop/Rock"
MT0000661847,MT0000661847,Q4,Vince Gill,Let There Be Peace on Earth,"Country,Holiday"
MT0000664362,MT0000664362,Q1,"Harry Connick, Jr.",Hello Dolly,"Jazz,Vocal"
MT0000670865,MT0000670865,Q4,Page France,So Sweetly Around Me,Pop/Rock
MT0000672880,MT0000672880,Q1,The Beach Boys,Amusement Parks U.S.A.,"Electronic,Pop/Rock"
MT0000685324,MT0000685324,Q3,k.d. lang,Love Is Like a Cigarette,"Jazz,Pop/Rock"
MT0000685538,MT0000685538,Q3,Carl Perkins,Let the Jukebox Keep on Playing,Country
MT0000685552,MT0000685552,Q3,The Starfires,I Never Loved Her,Pop/Rock
MT0000688115,MT0000688115,Q3,Barbra Streisand,I Never Meant to Hurt You,"Pop/Rock,Vocal"
MT0000688312,MT0000688312,Q3,The Stranglers,Skin Deep,Pop/Rock
MT0000704913,MT0000704913,Q1,The Beatles,Im Happy Just to Dance With You,Pop/Rock
MT0000707663,MT0000707663,Q4,Stan Getz,Girl From Ipanema,"International,Jazz,Pop/Rock"
MT0000712071,MT0000712071,Q1,Elvis Presley,Wear My Ring Around Your Neck,Pop/Rock
MT0000714708,MT0000714708,Q1,Madonna,Music,"Club/Dance,Pop/Rock,Dance-Pop"
MT0000720686,MT0000720686,Q3,Kiss,A World Without Heroes,Pop/Rock
MT0000721873,MT0000721873,Q1,Mariah Carey,Emotions,"Electronic,Pop/Rock,R&B"
MT0000723464,MT0000723464,Q4,Burning Spear,The Invasion,Reggae
MT0000724357,MT0000724357,Q2,Black Child,Worldwide Gangsta,Rap
MT0000727738,MT0000727738,Q3,Tori Amos,Little Amsterdam,Pop/Rock
MT0000734482,MT0000734482,Q4,Bjï¿½rk,Desired Constellation,Electronic
MT0000741489,MT0000741489,Q2,Dimmu Borgir,Nocturnal Fear,Pop/Rock
MT0000744293,MT0000744293,Q2,The Cure,Out of Mind,Pop/Rock
MT0000747666,MT0000747666,Q3,Diana Ross,One More Chance,"Pop/Rock,R&B"
MT0000753074,MT0000753074,Q4,Louis Armstrong,"Swing Low, Sweet Chariot","Vocal Pop,Traditional Pop,Vocal Jazz,Religious,Jazz,Vocal,Gospel,Spirituals"
MT0000754511,MT0000754511,Q4,Moby,I'm Not Worried at All,Electronic
MT0000762097,MT0000762097,Q4,Bing Crosby,God Rest Ye Merry Gentleman,"Holiday,Vocal"
MT0000763275,MT0000763275,Q3,Black Box Recorder,Ideal Home,Pop/Rock
MT0000764951,MT0000764951,Q3,Billie Holiday,Where Is the Sun?,"Blues,Jazz,Vocal"
MT0000766316,MT0000766316,Q1,Gene Vincent,Woman Love,Pop/Rock
MT0000775053,MT0000775053,Q4,Marianne Faithfull,Chords of Fame,Pop/Rock
MT0000776108,MT0000776108,Q3,Cat Stevens,How Many Times,Pop/Rock
MT0000778102,MT0000778102,Q2,Trick Daddy,For the Thugs,Rap
MT0000780401,MT0000780401,Q3,Dwight Yoakam,Does It Show,"Country,Pop/Rock"
MT0000783307,MT0000783307,Q2,Tool,<c6>nema,Pop/Rock
MT0000789330,MT0000789330,Q2,Mastodon,Megalodon,Pop/Rock
MT0000807741,MT0000807741,Q1,Louis Armstrong,Swing That Music,"Jazz,Vocal"
MT0000811092,MT0000811092,Q4,George Treadwell & His All-Stars,East of the Sun (And West of the Moon),"Jazz,Vocal"
MT0000811743,MT0000811743,Q3,Buck Owens,My Last Chance With You,Country
MT0000825920,MT0000825920,Q4,Doris Day,Christmas Song (Chestnuts Roasting on an Open Fire),"Holiday,Jazz,Vocal"
MT0000829531,MT0000829531,Q2,Ice Cube,Steady Mobbin',Rap
MT0000829765,MT0000829765,Q3,Trisha Yearwood,When a Love Song Sings the Blues,"Country,Pop/Rock"
MT0000832464,MT0000832464,Q3,Faith Evans,Heartbreak Hotel,"Pop/Rock,R&B"
MT0000848769,MT0000848769,Q4,Billie Holiday,Can't Help Lovin' Dat Man,"Blues,Jazz,Vocal"
MT0000850050,MT0000850050,Q3,Alison Krauss,"Baby, Now That I've Found You",Country
MT0000850957,MT0000850957,Q2,Red C,6 O'Clock News,Pop/Rock
MT0000851865,MT0000851865,Q1,Bing Crosby,I'm an Old Cowhand (From the Rio Grande),"Jazz,Vocal"
MT0000853072,MT0000853072,Q3,Tom Waits,More Than Rain,Pop/Rock
MT0000854722,MT0000854722,Q1,Alicia Keys,Mr. Man,"Pop/Rock,R&B"
MT0000863232,MT0000863232,Q4,Bob Marley,Adam and Eve,Reggae
MT0000863543,MT0000863543,Q1,Curtis Mayfield,"Love Me, Love Me Now","Electronic,R&B"
MT0000871290,MT0000871290,Q1,Van Morrison,The Mystery,"Pop/Rock,R&B"
